******************************
Namespace(cfg='config/resnet50.yaml', device='gpu:0', exp_id='reduce_labelsmooth0-4_ssp', label_smooth=True, label_weighted=False, nThreads=80, reduce_dataset=True, snapshot=2, ssp=False, sync=True, work_dir='./exp/reduce_labelsmooth0-4_ssp-resnet50.yaml/')
******************************
{'MODEL': {'TYPE': 'resnet50', 'PRETRAINED': '', 'TRY_LOAD': 'exp/reduce_ssp-resnet50.yaml/ssp_final'}, 'LOSS': {'TYPE': 'CrossEntropy', 'EPSILON': 0.1, 'WEIGHTED': False}, 'TRAIN': {'BATCH_SIZE': 200, 'BEGIN_EPOCH': 0, 'END_EPOCH': 40, 'OPTIMIZER': 'adam', 'LR': 0.001, 'LR_SCHEDULER': {'TYPE': 'cosineannealing', 'T_MAX': 100}}, 'SSP': {'BATCH_SIZE': 200, 'BEGIN_EPOCH': 0, 'END_EPOCH': 40, 'OPTIMIZER': 'adam', 'LR': 0.001, 'LR_SCHEDULER': {'TYPE': 'cosineannealing', 'T_MAX': 100}}, 'FILE_NAME': 'resnet50.yaml'}
******************************
Loading model from exp/reduce_ssp-resnet50.yaml/ssp_final...
############# Starting Epoch 0 | LR: 0.001 #############
Train-0 epoch | loss:0.15572440 | acc:0.9717
############# Starting Epoch 16 | LR: 0.0009381533400219318 #############
Train-16 epoch | loss:0.05319936 | acc:0.9986
############# Starting Epoch 17 | LR: 0.0009303710135019719 #############
Train-17 epoch | loss:0.05249738 | acc:0.9986
##### Epoch 17 | test_acc: 0.9877 #####
############# Starting Epoch 18 | LR: 0.0009221639627510076 #############
Train-18 epoch | loss:0.05215462 | acc:0.9989
############# Starting Epoch 19 | LR: 0.000913540287137281 #############
Train-19 epoch | loss:0.05101457 | acc:0.9991
##### Epoch 19 | test_acc: 0.9896 #####
############# Starting Epoch 20 | LR: 0.0009045084971874739 #############
Train-20 epoch | loss:0.04826329 | acc:0.9998
############# Starting Epoch 21 | LR: 0.0008950775061878452 #############
Train-21 epoch | loss:0.05351772 | acc:0.9986
##### Epoch 21 | test_acc: 0.9873 #####
############# Starting Epoch 22 | LR: 0.0008852566213878947 #############
Train-22 epoch | loss:0.04883588 | acc:0.9997
############# Starting Epoch 23 | LR: 0.0008750555348152298 #############
Train-23 epoch | loss:0.04793669 | acc:0.9999
##### Epoch 23 | test_acc: 0.9891 #####
############# Starting Epoch 24 | LR: 0.0008644843137107057 #############
Train-24 epoch | loss:0.04899937 | acc:0.9994
############# Starting Epoch 25 | LR: 0.0008535533905932737 #############
Train-25 epoch | loss:0.05227874 | acc:0.9987
##### Epoch 25 | test_acc: 0.9845 #####
############# Starting Epoch 26 | LR: 0.0008422735529643444 #############
Train-26 epoch | loss:0.05038199 | acc:0.9991
############# Starting Epoch 27 | LR: 0.0008306559326618259 #############
Train-27 epoch | loss:0.04854738 | acc:0.9998
##### Epoch 27 | test_acc: 0.9896 #####
############# Starting Epoch 28 | LR: 0.0008187119948743449 #############
Train-28 epoch | loss:0.04859117 | acc:0.9996
############# Starting Epoch 29 | LR: 0.0008064535268264883 #############
Train-29 epoch | loss:0.04767609 | acc:0.9999
##### Epoch 29 | test_acc: 0.9912 #####
############# Starting Epoch 30 | LR: 0.0007938926261462367 #############
Train-30 epoch | loss:0.04733948 | acc:1.0000
############# Starting Epoch 31 | LR: 0.0007810416889260654 #############
Train-31 epoch | loss:0.04729985 | acc:1.0000
##### Epoch 31 | test_acc: 0.9914 #####
############# Starting Epoch 32 | LR: 0.0007679133974894983 #############
Train-32 epoch | loss:0.04728330 | acc:1.0000
############# Starting Epoch 33 | LR: 0.0007545207078751857 #############
Train-33 epoch | loss:0.04726848 | acc:1.0000
##### Epoch 33 | test_acc: 0.9919 #####
############# Starting Epoch 34 | LR: 0.0007408768370508577 #############
Train-34 epoch | loss:0.04726706 | acc:1.0000
############# Starting Epoch 35 | LR: 0.0007269952498697734 #############
Train-35 epoch | loss:0.04725320 | acc:1.0000
##### Epoch 35 | test_acc: 0.9917 #####
############# Starting Epoch 36 | LR: 0.0007128896457825364 #############
Train-36 epoch | loss:0.04725114 | acc:1.0000
############# Starting Epoch 37 | LR: 0.0006985739453173903 #############
Train-37 epoch | loss:0.04724209 | acc:1.0000
##### Epoch 37 | test_acc: 0.9923 #####
############# Starting Epoch 38 | LR: 0.0006840622763423391 #############
Train-38 epoch | loss:0.04724599 | acc:1.0000
############# Starting Epoch 39 | LR: 0.0006693689601226458 #############
Train-39 epoch | loss:0.04723668 | acc:1.0000
##### Epoch 39 | test_acc: 0.992 #####
