******************************
Namespace(cfg='config/resnet50.yaml', device='gpu:0', exp_id='reduce_labelweighted', label_smooth=False, label_weighted=True, nThreads=80, reduce_dataset=True, snapshot=2, ssp=False, sync=True, work_dir='./exp/reduce_labelweighted-resnet50.yaml/')
******************************
{'MODEL': {'TYPE': 'resnet50', 'PRETRAINED': '', 'TRY_LOAD': ''}, 'LOSS': {'TYPE': 'CrossEntropy', 'EPSILON': None, 'WEIGHTED': True}, 'TRAIN': {'BATCH_SIZE': 200, 'BEGIN_EPOCH': 0, 'END_EPOCH': 40, 'OPTIMIZER': 'adam', 'LR': 0.001, 'LR_SCHEDULER': {'TYPE': 'cosineannealing', 'T_MAX': 100}}, 'FILE_NAME': 'resnet50.yaml'}
******************************
############# Starting Epoch 0 | LR: 0.001 #############
Train-0 epoch | loss:0.40706760 | acc:0.8738
##### Epoch 9 | test_acc: 0.9869 #####
############# Starting Epoch 10 | LR: 0.0009755282581475767 #############
Train-10 epoch | loss:0.00987538 | acc:0.9953
############# Starting Epoch 11 | LR: 0.0009704403844771127 #############
Train-11 epoch | loss:0.00422529 | acc:0.9982
##### Epoch 11 | test_acc: 0.9889 #####
############# Starting Epoch 12 | LR: 0.0009648882429441257 #############
Train-12 epoch | loss:0.00162099 | acc:0.9993
############# Starting Epoch 13 | LR: 0.0009588773128419905 #############
Train-13 epoch | loss:0.00070376 | acc:0.9998
##### Epoch 13 | test_acc: 0.9902 #####
############# Starting Epoch 14 | LR: 0.0009524135262330098 #############
Train-14 epoch | loss:0.00025836 | acc:1.0000
############# Starting Epoch 15 | LR: 0.0009455032620941839 #############
Train-15 epoch | loss:0.00015514 | acc:1.0000
##### Epoch 15 | test_acc: 0.9901 #####
############# Starting Epoch 16 | LR: 0.0009381533400219318 #############
Train-16 epoch | loss:0.00010903 | acc:1.0000
############# Starting Epoch 17 | LR: 0.0009303710135019719 #############
Train-17 epoch | loss:0.00010037 | acc:1.0000
##### Epoch 17 | test_acc: 0.9906 #####
############# Starting Epoch 18 | LR: 0.0009221639627510076 #############
Train-18 epoch | loss:0.00007398 | acc:1.0000
############# Starting Epoch 19 | LR: 0.000913540287137281 #############
Train-19 epoch | loss:0.00005946 | acc:1.0000
##### Epoch 19 | test_acc: 0.9904 #####
############# Starting Epoch 20 | LR: 0.0009045084971874739 #############
Train-20 epoch | loss:0.00005020 | acc:1.0000
############# Starting Epoch 21 | LR: 0.0008950775061878452 #############
Train-21 epoch | loss:0.00004348 | acc:1.0000
##### Epoch 21 | test_acc: 0.9904 #####
############# Starting Epoch 22 | LR: 0.0008852566213878947 #############
Train-22 epoch | loss:0.00003749 | acc:1.0000
############# Starting Epoch 23 | LR: 0.0008750555348152298 #############
Train-23 epoch | loss:0.00003306 | acc:1.0000
##### Epoch 23 | test_acc: 0.9904 #####
############# Starting Epoch 24 | LR: 0.0008644843137107057 #############
Train-24 epoch | loss:0.00003006 | acc:1.0000
############# Starting Epoch 25 | LR: 0.0008535533905932737 #############
Train-25 epoch | loss:0.00002484 | acc:1.0000
##### Epoch 25 | test_acc: 0.9904 #####
############# Starting Epoch 26 | LR: 0.0008422735529643444 #############
Train-26 epoch | loss:0.00002085 | acc:1.0000
############# Starting Epoch 27 | LR: 0.0008306559326618259 #############
Train-27 epoch | loss:0.00002164 | acc:1.0000
##### Epoch 27 | test_acc: 0.9906 #####
############# Starting Epoch 28 | LR: 0.0008187119948743449 #############
Train-28 epoch | loss:0.00001678 | acc:1.0000
############# Starting Epoch 29 | LR: 0.0008064535268264883 #############
Train-29 epoch | loss:0.00001560 | acc:1.0000
##### Epoch 29 | test_acc: 0.9905 #####
############# Starting Epoch 30 | LR: 0.0007938926261462367 #############
Train-30 epoch | loss:0.00001331 | acc:1.0000
############# Starting Epoch 31 | LR: 0.0007810416889260654 #############
Train-31 epoch | loss:0.00001270 | acc:1.0000
##### Epoch 31 | test_acc: 0.9905 #####
############# Starting Epoch 32 | LR: 0.0007679133974894983 #############
Train-32 epoch | loss:0.00001201 | acc:1.0000
############# Starting Epoch 33 | LR: 0.0007545207078751857 #############
Train-33 epoch | loss:0.00001003 | acc:1.0000
##### Epoch 33 | test_acc: 0.9904 #####
############# Starting Epoch 34 | LR: 0.0007408768370508577 #############
Train-34 epoch | loss:0.00000957 | acc:1.0000
############# Starting Epoch 35 | LR: 0.0007269952498697734 #############
Train-35 epoch | loss:0.00000809 | acc:1.0000
##### Epoch 35 | test_acc: 0.9904 #####
############# Starting Epoch 36 | LR: 0.0007128896457825364 #############
Train-36 epoch | loss:0.00000738 | acc:1.0000
############# Starting Epoch 37 | LR: 0.0006985739453173903 #############
Train-37 epoch | loss:0.00000742 | acc:1.0000
##### Epoch 37 | test_acc: 0.9902 #####
############# Starting Epoch 38 | LR: 0.0006840622763423391 #############
Train-38 epoch | loss:0.00000725 | acc:1.0000
############# Starting Epoch 39 | LR: 0.0006693689601226458 #############
Train-39 epoch | loss:0.00000591 | acc:1.0000
##### Epoch 39 | test_acc: 0.99 #####
